MD,SGRC,SEXP,SESP,SEMP,TVD,TVDSS,BS,R(D)/RT,PHID,RHOBHC,NPHIHC,PHIECPX,PHITCPX,Sw/SXO,New_feat,K,PAY,NET,KTIM,MRP,T2LM,T2_DIST,T2LM_L,T2LM_G
1279.6,49.97,0.38,1.61,2.4,4198.04,4116.02,12.25,2.76,0.34,2.12,0.24,0.25,0.29,0.87897,2.99897,171.42,1,1,498.03,0.3,87.05095,0.001317307,87.05095,87.05095
1279.7,49.26,0.37,1.83,2.75,4198.36,4116.34,12.25,3.14,0.33,2.14,0.25,0.25,0.29,0.86821,3.00821,180.67,1,1,478.48,0.29,102.7678,0.001162618,102.7678,102.7678
1279.8,47.22,0.38,1.9,3.1,4198.69,4116.67,12.25,3.34,0.32,2.15,0.26,0.25,0.28,0.87094,3.02094,161.02,1,1,458.93,0.29,,0.000757783,98.60905,98.52131516
1279.9,45.71,0.38,2,3.32,4199.02,4117,12.25,3.55,0.3,2.19,0.27,0.25,0.28,0.86779,3.05779,172.8,1,1,439.38,0.29,94.4503,0.000181002,94.4503,94.4503
1280,46.21,0.39,2.2,3.76,4199.35,4117.33,12.25,3.92,0.29,2.21,0.28,0.25,0.27,0.85986,3.06986,160.16,1,1,419.83,0.28,,1.00E-08,103.52895,103.1301198
1280.1,48.22,0.42,2.44,4.28,4199.68,4117.66,12.25,4.43,0.27,2.23,0.28,0.24,0.27,0.84861,3.07861,133.83,1,1,410.96,0.27,112.6076,1.00E-08,112.6076,112.6076
1280.2,51.27,0.43,2.44,4.33,4200,4117.98,12.25,4.37,0.25,2.26,0.28,0.23,0.27,0.84827,3.10827,101.63,1,1,402.36,0.27,,1.00E-08,125.7797,125.0880838
1280.3,52.22,0.41,2.17,3.84,4200.33,4118.31,12.25,3.78,0.25,2.27,0.27,0.23,0.27,0.8597,3.1297,94.9,1,1,393.76,0.26,138.9518,1.00E-08,138.9518,138.9518
1280.4,54.62,0.39,1.82,3.07,4200.66,4118.64,12.25,2.96,0.26,2.25,0.26,0.22,0.27,0.87842,3.12842,79.97,1,1,385.16,0.25,,1.00E-08,132.8768,132.7378558
1280.5,56.42,0.36,1.44,2.41,4200.99,4118.97,12.25,2.16,0.28,2.22,0.26,0.22,0.27,0.90452,3.12452,70.19,1,1,412.85,0.25,126.8018,1.00E-08,126.8018,126.8018
1280.6,55.91,0.32,1.24,1.83,4201.32,4119.3,12.25,1.86,0.3,2.19,0.26,0.22,0.27,0.91824,3.10824,74.41,1,1,494.36,0.24,,1.00E-08,104.074745,101.5629535
1280.7,55.04,0.27,1.09,1.6,4201.64,4119.62,12.25,1.72,0.32,2.16,0.27,0.22,0.27,0.92717,3.08717,76.81,1,1,575.86,0.24,81.34769,1.00E-08,81.34769,81.34769
1280.8,54.11,0.23,1.03,1.77,4201.97,4119.95,12.25,1.82,0.32,2.15,0.27,0.22,0.27,0.92323,3.07323,81.39,1,1,657.36,0.24,,1.00E-08,93.571345,92.76949317
1280.9,58.08,0.22,1.12,2.1,4202.3,4120.28,12.25,2.13,0.33,2.14,0.27,0.21,0.27,0.90539,3.04539,57.96,1,1,738.87,0.24,105.795,1.00E-08,105.795,105.795
1281,61.7,0.22,1.28,2.61,4202.63,4120.61,12.25,2.53,0.33,2.14,0.28,0.19,0.27,0.88908,3.02908,37.48,1,1,829.22,0.24,,1.00E-08,115.8964,115.4553474
1281.1,60.7,0.24,1.4,3.08,4202.96,4120.94,12.25,2.85,0.31,2.17,0.28,0.2,0.27,0.87829,3.04829,43.48,1,1,921.39,0.24,125.9978,1.00E-08,125.9978,125.9978
1281.2,54.81,0.24,1.38,2.81,4203.29,4121.26,12.25,2.52,0.29,2.21,0.29,0.22,0.28,0.89113,3.10113,83.67,1,1,1013.55,0.25,,1.00E-08,108.049485,106.5483421
1281.3,49.38,0.24,1.24,2.4,4203.61,4121.59,12.25,2.12,0.28,2.22,0.29,0.24,0.28,0.91061,3.13061,132.17,1,1,1105.71,0.25,90.10117,1.00E-08,90.10117,90.10117
